,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
56,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 23,2004-11-12,L,3,,13,B,912,707,8500000,2020-10-12,2012-10-12,6000000,41.67,22.3527971,114.060294
57,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,H,1,,27,B,488,360,5250000,2020-10-09,2002-09-06,1450400,261.97,22.350234,114.0599035
58,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 16,2002-08-07,M,2,,12,H,678,523,6000000,2020-10-09,2010-06-15,2450000,144.9,22.3504459,114.0603924
59,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,H,2,2,31,C,737,589,7000000,2020-10-09,2010-09-03,3600000,94.44,22.3534505,114.061128
60,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,M,1,,12,J,498,378,5500000,2020-10-09,2002-09-24,1596100,244.59,22.350234,114.0599035
61,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 28,2006-06-28,M,2,2,16,C,738,578,6680000,2020-10-07,2007-11-29,2730000,144.69,22.353803,114.0612985
62,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 23,2004-11-12,H,2,,30,E,663,490,6500000,2020-10-07,2005-02-08,2713200,139.57,22.3527971,114.060294
63,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 31,2006-06-28,H,2,,27,C,735,575,6880000,2020-10-06,2009-07-10,3080000,123.38000000000001,22.3538806,114.060371
64,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 8,2002-08-07,M,2,,12,B,742,583,7420000,2020-10-06,2002-09-09,2214700,235.03,22.352532,114.0615209
65,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 18,2002-08-07,L,2,,1,F,679,520,5370000,2020-10-06,2012-08-24,3200000,67.81,22.351043999999998,114.060254
66,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 3,2002-08-07,H,3,,23,C,914,710,9000000,2020-10-06,2014-04-16,6160000,46.1,22.3536435,114.062419
67,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 6,2002-08-07,H,2,,15,F,694,531,6700000,2020-10-06,2009-05-04,2200000,204.55,22.353023,114.0621146
68,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 26,2006-06-28,H,2,,31,E,750,598,7560000,2020-10-05,2014-05-29,5400000,40.0,22.353423,114.060729
69,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,L,1,,5,A,495,366,4780000,2020-10-05,2002-09-28,1118500,327.36,22.350234,114.0599035
70,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 30,2006-06-28,L,2,,15,G,676,499,6480000,2020-10-05,2017-05-18,6000000,8.0,22.354236,114.0605369
71,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 3,2002-08-07,L,3,,9,A,993,774,9600000,2020-09-30,2007-10-17,3500000,174.29,22.3536435,114.062419
72,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 3,2002-08-07,L,2,,2,G,691,529,6080000,2020-09-25,2013-07-03,4050000,50.120000000000005,22.3536435,114.062419
73,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,L,2,2,9,F,736,574,6500000,2020-09-24,2006-09-06,2356000,175.89000000000001,22.3534505,114.061128
74,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 15,2002-08-07,L,2,,6,A,678,523,6200000,2020-09-24,2002-09-23,1564600,296.27,22.3506479,114.060655
75,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 26,2006-06-28,M,2,,17,A,622,476,6080000,2020-09-24,2008-06-30,2500000,143.20000000000002,22.353423,114.060729
