,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
116,FLAT B 8/F BLOCK 11 RHYTHM GARDEN ,20,17/11/2020,6.88,589,690,11681,9971,-,
117,FLAT K 11/F CHE CHEUNG BUILDING  ,42,16/11/2020,4.28,311,382,13762,11204,1524,50
118,NO. 65A (FLAT C) 2/F 65-67 KAI TAK ROAD  ,56,16/11/2020,4.31,435,-,9908,-,-,
119,FLAT 9 8/F TOWER D GALAXIA ,22,16/11/2020,9.35,593,751,15767,12450,2937,56
120,FLAT C 11/F LE BILLIONNAIRE  ,14,16/11/2020,12.5,815,1078,15337,11596,4204,95
121,FLAT A 9/F BLOCK 14 TSUI CHUK GARDEN ,29,16/11/2020,4.8,431,480,11137,10000,-,
122,FLAT K 10/F BLOCK 12 RHYTHM GARDEN ,20,13/11/2020,5.38,449,527,11982,10209,-,
123,FLAT A 21/F OXFORD HEIGHTS  ,15,13/11/2020,9.76,541,750,18041,13013,2347,34
124,FLAT 12 23/F CHUN SING HOUSE (BLOCK A) TIN MA COURT ,34,12/11/2020,4.81,338,462,14231,10411,-,
125,FLAT K 11/F BLOCK 2 PHASE 1 KINGSFORD TERRACE,17,12/11/2020,6.75,422,495,15995,13636,-,
126,FLAT 5 30/F LUNG WAN HOUSE (BLOCK G) LUNG POON COURT ,28,12/11/2020,6.45,401,514,16085,12549,-,
127,FLAT A (NO. 82) 3/F TONG SING MANSION  ,57,12/11/2020,5.3,-,-,-,-,2077,39
128,FLAT G 26/F BLOCK 2 HSIN KUANG CENTRE ,34,12/11/2020,6.2,382,502,16230,12351,7522,279
129,FLAT B 1/F FOOK LUEN MANSION  ,27,11/11/2020,4.5,319,480,14107,9375,1394,25
130,FLAT 1 4/F LUEN FOOK BUILDING  ,44,11/11/2020,3.75,330,500,11364,7500,3538,89
131,FLAT D 24/F FU YAU BUILDING  ,42,11/11/2020,4.22,262,333,16107,12673,3283,141
132,FLAT G 15/F BLOCK 7 RHYTHM GARDEN ,20,11/11/2020,6.8,586,686,11604,9913,-,
133,FLAT F 10/F BLOCK 2 BEL AIR HEIGHTS ,21,11/11/2020,9.85,657,826,14992,11925,-,
134,FLAT D 2/F FOOK CHI BUILDING  ,28,10/11/2020,3.15,254,-,12402,-,5104,320
135,FLAT A 13/F WEALTH COURT  ,21,9/11/2020,5.1,327,517,15596,9865,2806,89
136,FLAT 7 28/F LUNG TAT HOUSE (BLOCK 1) LOWER WONG TAI SIN (1) ESTATE ,30,9/11/2020,4.68,544,-,8603,-,-,
137,FLAT 21C 1/F PIK FUNG HOUSE (BLOCK 2) FUNG TAK ESTATE ,29,9/11/2020,2.48,147,193,16871,12850,-,
138,FLAT A 23/F THE AVERY  ,6,6/11/2020,6.15,306,423,20092,14534,2786,-3
139,FLAT D 23/F TOWER 6A LIONS RISE ,8,6/11/2020,14.68,827,1078,17751,13618,-,
140,FLAT D 7/F TOWER 1 ARIA KOWLOON PEAK ,10,6/11/2020,9.38,663,867,14148,10819,2250,30
141,FLAT B 4/F LUNG CHEUNG COURT  ,37,5/11/2020,3.15,241,273,13071,11538,8627,206
142,FLAT 3 16/F HING TUNG HOUSE TUNG TAU (II) ESTATE ,27,5/11/2020,1.16,145,203,8000,5714,-,
143,FLAT D 11/F KELLIE MANSION  ,39,5/11/2020,2.5,264,343,9470,7289,-,
