,dates,hsi_average
148,2020-08-07,-0.015164976594446256
149,2020-08-10,2.4998133152235745e-05
150,2020-08-11,0.00927095380964102
151,2020-08-12,0.015094866862503033
152,2020-08-13,-0.01017455514528128
153,2020-08-14,0.00440964286777054
154,2020-08-17,0.005356935217346272
155,2020-08-18,-0.004066976675423316
156,2020-08-19,-0.007102761644239913
157,2020-08-20,-0.010535034972181511
158,2020-08-21,0.004267142239350323
159,2020-08-24,0.007840991976659373
160,2020-08-25,-0.003938311240476442
161,2020-08-26,-0.001121498188107711
162,2020-08-27,-0.0074056084564712975
163,2020-08-28,0.0036039574523141246
164,2020-08-31,-0.021585141899053778
165,2020-09-01,0.003953639181607589
166,2020-09-02,-0.0047452535083706265
167,2020-09-03,-0.0007747885310382486
168,2020-09-04,0.001080248599690937
169,2020-09-07,-0.0012740796775367084
