Unnamed: 0,dates,vader_label,textblob_label
375,2018-06-11,2.0,2.0
376,2018-06-12,2.0,2.0
377,2018-06-13,2.0,2.0
378,2018-06-14,2.0,2.0
379,2018-06-15,2.0,2.0
380,2018-06-18,0.0,0.0
381,2018-06-19,0.0,1.0
382,2018-06-20,2.0,1.0
383,2018-06-21,2.0,1.0
384,2018-06-22,2.0,2.0
385,2018-06-25,0.0,2.0
386,2018-06-26,0.0,2.0
387,2018-06-27,2.0,2.0
388,2018-06-28,2.0,2.0
389,2018-06-29,2.0,2.0
390,2018-07-02,0.0,0.0
391,2018-07-03,2.0,2.0
392,2018-07-04,1.0,2.0
393,2018-07-05,2.0,2.0
394,2018-07-06,2.0,2.0
395,2018-07-09,2.0,2.0
396,2018-07-10,2.0,1.0
397,2018-07-11,2.0,1.0
398,2018-07-12,2.0,2.0
399,2018-07-13,2.0,2.0
400,2018-07-16,2.0,0.0
401,2018-07-17,2.0,2.0
402,2018-07-18,2.0,1.0
403,2018-07-19,2.0,1.0
404,2018-07-20,1.0,0.0
405,2018-07-23,2.0,2.0
406,2018-07-24,2.0,2.0
407,2018-07-25,2.0,2.0
408,2018-07-26,2.0,2.0
409,2018-07-27,2.0,2.0
410,2018-07-30,2.0,2.0
411,2018-07-31,2.0,2.0
412,2018-08-01,0.0,2.0
413,2018-08-02,2.0,0.0
414,2018-08-03,2.0,0.0
415,2018-08-06,2.0,0.0
416,2018-08-07,2.0,1.0
417,2018-08-08,2.0,2.0
418,2018-08-09,1.0,1.0
419,2018-08-10,2.0,2.0
420,2018-08-13,2.0,2.0
421,2018-08-14,2.0,0.0
422,2018-08-15,2.0,1.0
423,2018-08-16,2.0,1.0
424,2018-08-17,2.0,2.0
425,2018-08-20,2.0,1.0
426,2018-08-21,2.0,2.0
427,2018-08-22,2.0,1.0
428,2018-08-23,2.0,0.0
429,2018-08-24,2.0,0.0
430,2018-08-27,2.0,2.0
431,2018-08-28,2.0,0.0
432,2018-08-29,2.0,1.0
433,2018-08-30,2.0,1.0
434,2018-08-31,2.0,0.0
435,2018-09-03,0.0,1.0
436,2018-09-04,2.0,2.0
437,2018-09-05,2.0,2.0
438,2018-09-06,0.0,0.0
439,2018-09-07,2.0,1.0
440,2018-09-10,0.0,2.0
441,2018-09-11,1.0,2.0
442,2018-09-12,2.0,1.0
443,2018-09-13,2.0,2.0
444,2018-09-14,2.0,2.0
445,2018-09-17,2.0,2.0
446,2018-09-18,2.0,2.0
447,2018-09-19,2.0,2.0
448,2018-09-20,2.0,2.0
449,2018-09-21,2.0,2.0
450,2018-09-24,2.0,1.0
451,2018-09-25,0.0,0.0
452,2018-09-26,1.0,0.0
453,2018-09-27,2.0,2.0
454,2018-09-28,1.0,0.0
455,2018-10-01,0.0,0.0
456,2018-10-02,2.0,2.0
457,2018-10-03,2.0,2.0
458,2018-10-04,1.0,2.0
459,2018-10-05,2.0,2.0
460,2018-10-08,2.0,2.0
461,2018-10-09,2.0,2.0
462,2018-10-10,1.0,1.0
463,2018-10-11,2.0,2.0
464,2018-10-12,2.0,2.0
465,2018-10-15,0.0,2.0
466,2018-10-16,2.0,2.0
467,2018-10-17,0.0,0.0
468,2018-10-18,2.0,0.0
469,2018-10-19,2.0,2.0
470,2018-10-22,2.0,2.0
471,2018-10-23,0.0,1.0
472,2018-10-24,2.0,2.0
473,2018-10-25,2.0,0.0
474,2018-10-26,2.0,0.0
475,2018-10-29,2.0,1.0
476,2018-10-30,2.0,1.0
477,2018-10-31,2.0,1.0
478,2018-11-01,0.0,1.0
479,2018-11-02,2.0,1.0
480,2018-11-05,2.0,2.0
481,2018-11-06,2.0,2.0
482,2018-11-07,2.0,0.0
483,2018-11-08,2.0,2.0
484,2018-11-09,2.0,2.0
485,2018-11-12,2.0,2.0
486,2018-11-13,2.0,0.0
487,2018-11-14,2.0,0.0
488,2018-11-15,0.0,1.0
489,2018-11-16,2.0,2.0
490,2018-11-19,2.0,0.0
491,2018-11-20,2.0,2.0
492,2018-11-21,2.0,2.0
493,2018-11-22,2.0,2.0
494,2018-11-23,2.0,1.0
495,2018-11-26,2.0,2.0
496,2018-11-27,0.0,2.0
497,2018-11-28,2.0,2.0
498,2018-11-29,2.0,2.0
499,2018-11-30,0.0,1.0
500,2018-12-03,2.0,1.0
501,2018-12-04,1.0,2.0
502,2018-12-05,0.0,2.0
503,2018-12-06,2.0,2.0
504,2018-12-07,2.0,2.0
505,2018-12-10,2.0,2.0
506,2018-12-11,2.0,1.0
507,2018-12-12,2.0,2.0
508,2018-12-13,2.0,2.0
509,2018-12-14,2.0,0.0
510,2018-12-17,1.0,2.0
511,2018-12-18,2.0,2.0
512,2018-12-19,2.0,1.0
513,2018-12-20,2.0,2.0
514,2018-12-21,2.0,0.0
515,2018-12-24,0.0,2.0
516,2018-12-25,0.0,0.0
517,2018-12-26,0.0,0.0
518,2018-12-27,1.0,0.0
519,2018-12-28,0.0,2.0
520,2018-12-31,2.0,2.0
521,2019-01-01,0.0,0.0
522,2019-01-02,1.0,2.0
523,2019-01-03,2.0,2.0
524,2019-01-04,2.0,2.0
525,2019-01-07,2.0,2.0
526,2019-01-08,2.0,0.0
527,2019-01-09,2.0,2.0
528,2019-01-10,2.0,2.0
529,2019-01-11,2.0,2.0
530,2019-01-14,2.0,2.0
531,2019-01-15,2.0,1.0
532,2019-01-16,2.0,2.0
533,2019-01-17,2.0,2.0
534,2019-01-18,2.0,2.0
535,2019-01-21,2.0,2.0
536,2019-01-22,2.0,2.0
537,2019-01-23,2.0,2.0
538,2019-01-24,2.0,2.0
539,2019-01-25,2.0,2.0
540,2019-01-28,2.0,2.0
541,2019-01-29,2.0,2.0
542,2019-01-30,2.0,0.0
543,2019-01-31,2.0,2.0
544,2019-02-01,2.0,2.0
545,2019-02-04,0.0,0.0
546,2019-02-05,0.0,0.0
547,2019-02-06,0.0,0.0
548,2019-02-07,0.0,0.0
549,2019-02-08,0.0,1.0
550,2019-02-11,2.0,2.0
551,2019-02-12,1.0,0.0
552,2019-02-13,2.0,1.0
553,2019-02-14,2.0,1.0
554,2019-02-15,2.0,2.0
555,2019-02-18,2.0,2.0
556,2019-02-19,1.0,2.0
557,2019-02-20,2.0,2.0
558,2019-02-21,2.0,1.0
559,2019-02-22,2.0,1.0
560,2019-02-25,2.0,2.0
561,2019-02-26,2.0,1.0
562,2019-02-27,2.0,0.0
563,2019-02-28,2.0,2.0
564,2019-03-01,1.0,2.0
565,2019-03-04,2.0,1.0
566,2019-03-05,0.0,2.0
567,2019-03-06,2.0,2.0
568,2019-03-07,2.0,2.0
569,2019-03-08,2.0,2.0
570,2019-03-11,2.0,2.0
571,2019-03-12,2.0,2.0
572,2019-03-13,2.0,2.0
573,2019-03-14,2.0,0.0
574,2019-03-15,2.0,0.0
575,2019-03-18,2.0,2.0
576,2019-03-19,2.0,1.0
577,2019-03-20,2.0,1.0
578,2019-03-21,2.0,2.0
579,2019-03-22,1.0,1.0
580,2019-03-25,0.0,2.0
581,2019-03-26,2.0,2.0
582,2019-03-27,2.0,2.0
583,2019-03-28,2.0,2.0
584,2019-03-29,0.0,1.0
585,2019-04-01,2.0,2.0
586,2019-04-02,1.0,1.0
587,2019-04-03,2.0,2.0
588,2019-04-04,2.0,2.0
589,2019-04-05,0.0,0.0
590,2019-04-08,2.0,2.0
591,2019-04-09,2.0,2.0
592,2019-04-10,2.0,2.0
593,2019-04-11,2.0,2.0
594,2019-04-12,2.0,2.0
595,2019-04-15,1.0,0.0
596,2019-04-16,2.0,2.0
597,2019-04-17,2.0,2.0
598,2019-04-18,2.0,2.0
599,2019-04-19,0.0,0.0
600,2019-04-22,0.0,0.0
601,2019-04-23,0.0,2.0
602,2019-04-24,2.0,2.0
603,2019-04-25,2.0,2.0
604,2019-04-26,1.0,1.0
605,2019-04-29,2.0,0.0
606,2019-04-30,2.0,1.0
607,2019-05-01,0.0,0.0
608,2019-05-02,1.0,2.0
609,2019-05-03,2.0,2.0
610,2019-05-06,2.0,1.0
611,2019-05-07,2.0,2.0
612,2019-05-08,1.0,2.0
613,2019-05-09,0.0,1.0
614,2019-05-10,1.0,1.0
615,2019-05-13,0.0,0.0
616,2019-05-14,2.0,1.0
617,2019-05-15,2.0,1.0
618,2019-05-16,0.0,0.0
619,2019-05-17,2.0,1.0
620,2019-05-20,0.0,1.0
621,2019-05-21,0.0,2.0
622,2019-05-22,1.0,2.0
623,2019-05-23,2.0,2.0
624,2019-05-24,0.0,2.0
625,2019-05-27,2.0,2.0
626,2019-05-28,2.0,2.0
627,2019-05-29,2.0,2.0
628,2019-05-30,0.0,2.0
629,2019-05-31,2.0,1.0
630,2019-06-03,2.0,2.0
631,2019-06-04,2.0,2.0
632,2019-06-05,0.0,2.0
633,2019-06-06,1.0,1.0
634,2019-06-07,0.0,0.0
635,2019-06-10,1.0,2.0
636,2019-06-11,2.0,2.0
637,2019-06-12,2.0,2.0
638,2019-06-13,0.0,0.0
639,2019-06-14,2.0,2.0
640,2019-06-17,0.0,2.0
641,2019-06-18,2.0,2.0
642,2019-06-19,0.0,2.0
643,2019-06-20,2.0,2.0
644,2019-06-21,2.0,2.0
645,2019-06-24,1.0,0.0
646,2019-06-25,2.0,2.0
647,2019-06-26,2.0,2.0
648,2019-06-27,1.0,1.0
649,2019-06-28,2.0,2.0
650,2019-07-01,0.0,0.0
651,2019-07-02,0.0,2.0
652,2019-07-03,2.0,2.0
653,2019-07-04,2.0,2.0
654,2019-07-05,2.0,2.0
655,2019-07-08,0.0,0.0
656,2019-07-09,2.0,2.0
657,2019-07-10,2.0,2.0
658,2019-07-11,2.0,1.0
659,2019-07-12,2.0,2.0
660,2019-07-15,2.0,1.0
661,2019-07-16,1.0,1.0
662,2019-07-17,2.0,2.0
663,2019-07-18,2.0,2.0
664,2019-07-19,2.0,2.0
665,2019-07-22,0.0,1.0
666,2019-07-23,1.0,1.0
667,2019-07-24,2.0,2.0
668,2019-07-25,1.0,2.0
669,2019-07-26,2.0,2.0
670,2019-07-29,2.0,2.0
671,2019-07-30,2.0,2.0
672,2019-07-31,2.0,1.0
673,2019-08-01,0.0,2.0
674,2019-08-02,0.0,2.0
675,2019-08-05,2.0,0.0
676,2019-08-06,0.0,2.0
677,2019-08-07,2.0,0.0
678,2019-08-08,0.0,2.0
679,2019-08-09,2.0,1.0
680,2019-08-12,2.0,2.0
681,2019-08-13,0.0,0.0
682,2019-08-14,2.0,0.0
683,2019-08-15,1.0,1.0
684,2019-08-16,2.0,2.0
685,2019-08-19,1.0,2.0
686,2019-08-20,2.0,2.0
687,2019-08-21,2.0,1.0
688,2019-08-22,0.0,0.0
689,2019-08-23,2.0,1.0
690,2019-08-26,2.0,2.0
691,2019-08-27,2.0,2.0
692,2019-08-28,2.0,2.0
693,2019-08-29,1.0,2.0
694,2019-08-30,0.0,0.0
695,2019-09-02,2.0,2.0
696,2019-09-03,2.0,2.0
697,2019-09-04,2.0,1.0
698,2019-09-05,2.0,2.0
699,2019-09-06,2.0,2.0
700,2019-09-09,1.0,1.0
701,2019-09-10,2.0,2.0
702,2019-09-11,2.0,2.0
703,2019-09-12,2.0,2.0
704,2019-09-13,2.0,2.0
705,2019-09-16,2.0,2.0
706,2019-09-17,2.0,2.0
707,2019-09-18,2.0,2.0
708,2019-09-19,2.0,2.0
709,2019-09-20,2.0,2.0
710,2019-09-23,2.0,2.0
711,2019-09-24,2.0,0.0
712,2019-09-25,2.0,0.0
713,2019-09-26,0.0,2.0
714,2019-09-27,1.0,1.0
715,2019-09-30,2.0,2.0
716,2019-10-01,0.0,0.0
717,2019-10-02,2.0,2.0
718,2019-10-03,2.0,2.0
719,2019-10-04,2.0,2.0
720,2019-10-07,0.0,0.0
721,2019-10-08,2.0,2.0
722,2019-10-09,1.0,1.0
723,2019-10-10,2.0,2.0
724,2019-10-11,2.0,2.0
725,2019-10-14,2.0,2.0
726,2019-10-15,2.0,2.0
727,2019-10-16,2.0,2.0
728,2019-10-17,2.0,2.0
729,2019-10-18,2.0,2.0
730,2019-10-21,0.0,1.0
731,2019-10-22,2.0,2.0
732,2019-10-23,2.0,0.0
733,2019-10-24,2.0,0.0
734,2019-10-25,2.0,1.0
735,2019-10-28,2.0,2.0
736,2019-10-29,1.0,1.0
737,2019-10-30,2.0,1.0
738,2019-10-31,2.0,0.0
739,2019-11-01,2.0,2.0
740,2019-11-04,1.0,1.0
741,2019-11-05,0.0,1.0
742,2019-11-06,0.0,0.0
743,2019-11-07,2.0,2.0
744,2019-11-08,0.0,0.0
745,2019-11-11,2.0,2.0
746,2019-11-12,2.0,2.0
747,2019-11-13,2.0,0.0
748,2019-11-14,2.0,1.0
749,2019-11-15,2.0,2.0
750,2019-11-18,2.0,1.0
751,2019-11-19,2.0,1.0
752,2019-11-20,2.0,2.0
753,2019-11-21,2.0,1.0
754,2019-11-22,2.0,0.0
755,2019-11-25,0.0,1.0
756,2019-11-26,2.0,0.0
757,2019-11-27,2.0,2.0
758,2019-11-28,2.0,2.0
759,2019-11-29,1.0,2.0
760,2019-12-02,2.0,2.0
761,2019-12-03,2.0,2.0
762,2019-12-04,2.0,2.0
763,2019-12-05,2.0,2.0
764,2019-12-06,2.0,1.0
765,2019-12-09,2.0,2.0
766,2019-12-10,0.0,2.0
767,2019-12-11,2.0,2.0
768,2019-12-12,2.0,1.0
769,2019-12-13,2.0,0.0
770,2019-12-16,0.0,2.0
771,2019-12-17,2.0,2.0
772,2019-12-18,0.0,0.0
773,2019-12-19,2.0,2.0
774,2019-12-20,2.0,2.0
775,2019-12-23,1.0,2.0
776,2019-12-24,2.0,2.0
777,2019-12-25,0.0,0.0
778,2019-12-26,0.0,0.0
779,2019-12-27,0.0,2.0
780,2019-12-30,2.0,2.0
781,2019-12-31,2.0,2.0
782,2020-01-01,0.0,1.0
783,2020-01-02,2.0,2.0
784,2020-01-03,2.0,2.0
785,2020-01-06,0.0,2.0
786,2020-01-07,1.0,1.0
787,2020-01-08,2.0,2.0
788,2020-01-09,2.0,2.0
789,2020-01-10,1.0,1.0
790,2020-01-13,2.0,2.0
791,2020-01-14,2.0,1.0
792,2020-01-15,2.0,2.0
793,2020-01-16,2.0,2.0
794,2020-01-17,2.0,0.0
795,2020-01-20,0.0,2.0
796,2020-01-21,2.0,1.0
797,2020-01-22,2.0,2.0
798,2020-01-23,1.0,1.0
799,2020-01-24,0.0,2.0
800,2020-01-27,0.0,0.0
801,2020-01-28,0.0,0.0
802,2020-01-29,1.0,2.0
803,2020-01-30,1.0,1.0
804,2020-01-31,0.0,1.0
805,2020-02-03,2.0,2.0
806,2020-02-04,1.0,1.0
807,2020-02-05,2.0,1.0
808,2020-02-06,2.0,2.0
809,2020-02-07,2.0,1.0
810,2020-02-10,0.0,2.0
811,2020-02-11,1.0,2.0
812,2020-02-12,2.0,2.0
813,2020-02-13,2.0,2.0
814,2020-02-14,2.0,2.0
815,2020-02-17,2.0,2.0
816,2020-02-18,2.0,2.0
817,2020-02-19,2.0,1.0
818,2020-02-20,0.0,2.0
