,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
580,FLAT D 5/F WOODBURY COURT PH 3-PARKVALE VILLAGE DISCOVERY BAY,32,31/5/2019,7.5,769,895,9753,8380,1659,26
581,FLAT G 4/F VERDANT COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,31/5/2019,6.3,609,718,10345,8774,2135,44
582,FLAT B 13/F BLOSSOM COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,28,30/5/2019,4.8,410,472,11707,10169,1133,50
583,FLAT D 13/F GREENISH COURT (BLOCK 4) PH 5-GREENVALE VILLAGE DISCOVERY BAY,29,30/5/2019,7.61,744,865,10228,8798,2292,42
584,FLAT F 3/F COSTA COURT PH 8-LA COSTA DISCOVERY BAY,25,30/5/2019,6.28,439,527,14305,11917,8708,163
585,FLAT D 21/F WOODBURY COURT PH 3-PARKVALE VILLAGE DISCOVERY BAY,32,29/5/2019,8.1,769,895,10533,9050,2431,51
586,FLAT C 9/F AMALFI TWO PHASE 14 AMALFI DISCOVERY BAY,9,29/5/2019,6.43,523,656,12294,9802,2387,28
587,FLAT C 9/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,29/5/2019,14.98,881,-,17003,-,-,-
588,FLAT D 19/F MOUNTAIN VIEW PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,29/5/2019,5.98,588,713,10170,8387,1457,21
589,FLAT E 6/F GRACEFUL MANSION (BLOCK H2) PHASE 12 SIENA TWO DISCOVERY BAY,18,28/5/2019,5.75,447,603,12864,9536,5420,206
590,FLAT E 10/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,28/5/2019,11.14,717,-,15540,-,-,-
591,FLAT E 7/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,28/5/2019,10.92,717,-,15233,-,-,-
592,FLAT E 9/F GREENERY COURT (BLOCK 1) PH 5-GREENVALE VILLAGE DISCOVERY BAY,30,27/5/2019,4.72,439,517,10752,9130,-,
593,FLAT A NO. 1 1 PARKLAND DRIVE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,33,27/5/2019,18.5,1190,-,15546,-,-,
594,FLAT C 10/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,24/5/2019,15.1,881,-,17138,-,-,-
595,FLAT D 5/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,24/5/2019,6.73,412,-,16335,-,-,-
596,FLAT B 6/F GLAMOUR COURT PH 3-HILLGROVE VILLAGE DISCOVERY BAY,32,24/5/2019,4.5,398,472,11307,9534,3217,168
597,FLAT H NO. 8 8 SEAHORSE LANE PH 1-BEACH VIL. SEAHORSE LANE DISCOVERY BAY,38,24/5/2019,14.9,1119,-,13315,-,501,0
598,FLAT A 1/F SUNRISE PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,23/5/2019,5.98,588,-,10170,-,2916,110
