,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
838,FLAT C 13/F FU HO YUEN (BLOCK H-5) CHI FU FA YUEN ,42,5/12/2019,8.78,588,694,14932,12651,7645,276
839,FLAT 2 29/F KA SING HOUSE (BLOCK A) KA LUNG COURT ,29,4/12/2019,7.7,554,711,13899,10830,-,
840,FLAT B 40/F BLOCK 1 SHAM WAN TOWERS ,16,4/12/2019,9.35,483,643,19358,14541,2065,48
841,FLAT 5 22/F KONG CHEONG COURT (BLOCK G) ABERDEEN CENTRE ,38,4/12/2019,7.48,559,668,13381,11198,4503,225
842,FLAT D 1/F SUN MING BUILDING  ,54,4/12/2019,7.78,445,-,17482,-,-,
843,FLAT E 21/F KIN FAI BUILDING  ,41,4/12/2019,3.8,274,-,13869,-,-,
844,FLAT D 21/F FULL JADE MANSION  ,28,4/12/2019,4.88,256,369,19063,13225,1546,28
845,FLAT D 19/F KA NING MANSION  ,41,3/12/2019,8.6,647,750,13292,11467,-,
846,FLAT F 22/F NING FUNG MANSION   (with flat roof),39,2/12/2019,5.35,284,346,18838,15462,1271,45
847,FLAT B 27/F MAY COURT  ,24,2/12/2019,5.9,278,485,21223,12165,2707,93
848,FLAT E 26/F BLOCK 1 SHAM WAN TOWERS ,16,29/11/2019,8.7,483,643,18012,13530,3220,80
849,FLAT B 23/F BLOCK 3 SHAM WAN TOWERS ,16,29/11/2019,10,508,662,19685,15106,2683,56
850,FLAT 22 17/F TUNG ON HOUSE LEI TUNG ESTATE ,32,29/11/2019,3.25,381,-,8530,-,-,
851,FLAT 3 G/F YUK FAI HOUSE (BLOCK A) YUE FAI COURT ,40,29/11/2019,4.8,384,460,12500,10435,-,
852,FLAT H 18/F FU FAI YUEN (BLOCK H-2) CHI FU FA YUEN ,42,29/11/2019,7.1,439,518,16173,13707,-,
853,FLAT E 18/F PORT CENTRE  ,31,29/11/2019,6.55,392,502,16709,13048,-,
854,FLAT B 10/F TOWER 10 LARVOTTO ,10,29/11/2019,21.09,1040,1298,20279,16248,3385,33
855,FLAT B 7/F TOWER 10 LARVOTTO ,10,28/11/2019,28,1041,1298,26897,21572,-,-
856,FLAT 6 23/F ON FAI HOUSE (BLOCK D) YUE FAI COURT ,40,28/11/2019,5,384,460,13021,10870,-,
857,FLAT A 3/F HAPPY VIEW BUILDING  ,39,27/11/2019,5.55,336,-,16518,-,1795,61
858,FLAT E 20/F FU CHAK YUEN (BLOCK H-18) CHI FU FA YUEN ,39,27/11/2019,7.4,439,518,16856,14286,7590,289
859,FLAT E 16/F JUMBO COURT  ,41,27/11/2019,6.25,401,463,15586,13499,1902,44
860,FLAT C 4/F COMFORT CENTRE  ,28,27/11/2019,5.97,375,504,15920,11845,-,
861,FLAT B 22/F HUNG FOOK COURT  ,28,27/11/2019,5.65,300,464,18833,12177,1912,53
862,FLAT E 27/F BLOCK 3 SOUTH WAVE COURT ,25,26/11/2019,5.1,431,524,11833,9733,-,
863,FLAT 2 14/F HOI CHU COURT (BLOCK B) ABERDEEN CENTRE ,41,26/11/2019,6.82,438,529,15571,12892,1263,46
864,FLAT C 10/F POKFULAM TERRACE  ,17,25/11/2019,8.5,523,688,16252,12355,4791,233
865,FLAT 2 27/F KA PING HOUSE (BLOCK B) KA LUNG COURT ,29,22/11/2019,6.72,645,827,10419,8126,-,
866,FLAT A 37/F TOWER 1 LARVOTTO  (with flat roof),10,22/11/2019,110,2595,3400,42389,32353,3070,-15
867,FLAT 6 26/F HOI YING COURT (BLOCK L) ABERDEEN CENTRE ,41,20/11/2019,6.5,432,526,15046,12357,8325,184
868,FLAT 8 13/F BLOCK A ABBA HOUSE ,37,20/11/2019,5.38,325,422,16554,12749,3130,105
869,FLAT A 10/F FU CHEONG YUEN (BLOCK H-16) CHI FU FA YUEN ,39,20/11/2019,6.93,439,518,15786,13378,2618,67
870,FLAT E 16/F FU CHEONG YUEN (BLOCK H-16) CHI FU FA YUEN ,39,20/11/2019,6,439,518,13667,11583,6956,257
871,FLAT B 23/F TOWER 10 LARVOTTO ,10,20/11/2019,20.9,1070,1331,19533,15702,1728,19
872,FLAT A 15/F BLOCK 1 GRANDVIEW GARDEN ,35,20/11/2019,6.25,363,500,17218,12500,-,
873,FLAT C 22/F BLOCK 3 SHAM WAN TOWERS ,16,18/11/2019,9.8,511,670,19178,14627,1145,27
874,FLAT 2 9/F BLOCK A KA WO BUILDING ,42,18/11/2019,4.9,339,414,14454,11836,3038,153
875,FLAT A 3/F TOWER 3 MARINA HABITAT ,22,18/11/2019,9.17,605,803,15157,11420,-,
876,FLAT 8 26/F NGAN ON HOUSE (BLOCK A) YUE ON COURT ,32,18/11/2019,7.05,504,618,13988,11408,-,
877,FLAT 4 28/F HUNG LAI HOUSE (BLOCK A) HUNG FUK COURT ,23,15/11/2019,5.58,645,801,8651,6966,-,
878,FLAT C 9/F COBLE COURT  ,33,14/11/2019,4.8,265,319,18113,15047,8253,245
879,FLAT 24 17/F TUNG YIP HOUSE LEI TUNG ESTATE ,33,13/11/2019,3.25,381,-,8530,-,-,
880,FLAT 15 27/F TUNG SING HOUSE LEI TUNG ESTATE ,32,13/11/2019,2.8,381,-,7349,-,-,
881,FLAT B 22/F H．BONAIRE  ,4,13/11/2019,7.75,320,-,24219,-,1194,17
