,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
7704,FLAT D 29/F BLOCK 19 PHASE 2 DOUBLE COVE STARVIEW DOUBLE COVE,6,14/2/2017,6.75,498,-,13554,-,1105,31
7705,FLAT E 30/F TOWER 2 THE WATERSIDE ,23,14/2/2017,5.85,483,690,12112,8478,7168,35
7706,FLAT C 27/F BLOCK 7 PHASE 4 DOUBLE COVE GRANDVIEW DOUBLE COVE,4,14/2/2017,8.97,514,-,17450,-,-,-
7707,FLAT D 6/F TOWER 5 BAYSHORE TOWERS ,26,13/2/2017,5.2,404,545,12871,9541,2601,135
7708,FLAT C 29/F TOWER 5 OCEAN VIEW ,17,13/2/2017,6.2,484,647,12810,9583,4713,202
7709,FLAT D 7/F BLOCK 1 MONTE VISTA ,20,13/2/2017,6.78,681,875,9956,7749,6002,135
7710,FLAT F 6/F TOWER 4 BAYSHORE TOWERS ,26,13/2/2017,7.48,567,757,13192,9881,2002,62
7711,FLAT F 13/F BLOCK 3 CHEVALIER GARDEN ,33,13/2/2017,2.45,479,540,5115,4537,-,
7712,FLAT E 40/F TOWER 1 MA ON SHAN CENTRE ,26,13/2/2017,7.15,609,816,11741,8762,3663,211
7713,FLAT A 36/F BLOCK 22 PHASE 3 DOUBLE COVE STARVIEW P DOUBLE COVE,5,13/2/2017,23.36,1381,-,16917,-,-,-
7714,FLAT E 9/F TOWER 1 PHASE 1 VISTA PARADISO,22,10/2/2017,11.28,1025,1271,11005,8875,1489,17
7715,FLAT C 7/F TOWER 5 LAKE SILVER ,11,10/2/2017,6.4,551,720,11615,8889,2785,91
7716,FLAT G 28/F BLOCK 6 PHASE 4 DOUBLE COVE GRANDVIEW DOUBLE COVE,4,9/2/2017,9.42,547,-,17219,-,-,-
7717,FLAT 10 29/F KAM KAI HOUSE (BLOCK B) KAM YING COURT ,29,9/2/2017,4,401,514,9975,7782,-,
7718,FLAT 4 34/F BLOCK G PHASE 4 SUNSHINE CITY,26,8/2/2017,7.5,618,830,12136,9036,7598,85
7719,FLAT A 20/F BLOCK 19 PHASE 2 DOUBLE COVE STARVIEW DOUBLE COVE,6,8/2/2017,12,795,-,15094,-,1094,32
7720,FLAT G 29/F TOWER 3 LAKE SILVER ,11,8/2/2017,6.8,556,728,12230,9341,2784,118
7721,FLAT G 12/F TOWER 9 PHASE 1 VISTA PARADISO,22,8/2/2017,5.9,490,608,12041,9704,1323,28
7722,FLAT G 30/F BLOCK 2 (TOWER B) MARBELLA ,19,8/2/2017,5.6,515,689,10874,8128,1661,45
7723,FLAT B 10/F TOWER 1 BAYSHORE TOWERS ,26,8/2/2017,5.4,396,531,13636,10169,2397,118
7724,FLAT 2 35/F KAM SHUN HOUSE (BLOCK F) KAM YING COURT ,29,7/2/2017,5.38,645,826,8341,6513,-,
7725,FLAT 4 1/F KAM CHING HOUSE (BLOCK G) KAM TAI COURT ,20,7/2/2017,2.98,506,668,5889,4461,-,
7726,FLAT 11 7/F HENG YUET HOUSE (BLOCK 9) HENG ON ESTATE ,0,7/2/2017,1.96,443,570,4420,3435,-,
7727,FLAT A 2/F TOWER 3 BAYSHORE TOWERS ,26,7/2/2017,6.8,520,697,13077,9756,2782,147
7728,FLAT 15 33/F HENG FUNG HOUSE (BLOCK 3) HENG ON ESTATE ,0,6/2/2017,1.95,443,570,4402,3421,-,
7729,FLAT 4 7/F HENG HOI HOUSE (BLOCK 4) HENG ON ESTATE ,0,6/2/2017,2,489,629,4090,3180,-,
7730,FLAT A05 27/F TOWER 2 THE MET. BLOSSOM ,3,3/2/2017,6.45,411,-,15701,-,-,-
7731,FLAT A07 23/F TOWER 1 THE MET. BLOSSOM ,3,2/2/2017,5.53,293,-,18884,-,-,-
7732,FLAT D 30/F TOWER 2A OCEANAIRE ,9,2/2/2017,8.2,665,875,12331,9371,2298,53
7733,FLAT A 18/F TOWER 3 PARK BELVEDERE ,22,2/2/2017,5.3,475,632,11158,8386,-,
7734,FLAT B03 29/F TOWER 1 THE MET. BLOSSOM ,3,2/2/2017,8.74,427,-,20464,-,-,-
7735,FLAT B 8/F BLOCK 9 MONTE VISTA ,20,2/2/2017,5.6,469,599,11940,9349,2610,119
7736,FLAT F 21/F BLOCK 1 LA COSTA ,16,1/2/2017,6.28,493,678,12738,9263,1546,58
7737,FLAT C 3/F BLOCK 2 LA COSTA ,16,1/2/2017,6,513,722,11696,8310,3616,134
7738,FLAT H 13/F BLOCK 2 FU FAI GARDEN ,29,1/2/2017,5.68,570,701,9965,8103,-,
7739,FLAT A 22/F BLOCK 6 SADDLE RIDGE GARDEN ,27,27/1/2017,3.63,592,691,6132,5253,-,
7740,FLAT 10 15/F KAM YIU HOUSE (BLOCK J) KAM YING COURT ,29,27/1/2017,3.55,401,514,8853,6907,-,
7741,FLAT A 9/F TOWER 12 PHASE 5 DOUBLE COVE SUMMIT DOUBLE COVE,4,27/1/2017,24.64,1632,-,15100,-,-,-
7742,FLAT G 12/F TOWER 2 MA ON SHAN CENTRE ,26,27/1/2017,4.71,375,506,12560,9308,1603,60
7743,FLAT 16 32/F KAM WAI HOUSE (BLOCK C) KAM FUNG COURT ,24,26/1/2017,5,637,877,7849,5701,-,
7744,FLAT D 33/F BLOCK 2 PHASE 1 DOUBLE COVE,7,26/1/2017,11.43,798,1037,14323,11022,1564,18
7745,FLAT B 4/F BLOCK 1 FOK ON GARDEN ,28,26/1/2017,5.55,568,692,9771,8020,-,
7746,FLAT H 8/F TOWER 2 PHASE 1 VISTA PARADISO,22,26/1/2017,8.4,788,977,10660,8598,7106,29
7747,FLAT 9 29/F YIU HIM HOUSE (BLOCK 3) YIU ON ESTATE ,0,26/1/2017,2.43,485,622,5010,3907,-,
7748,FLAT 1 14/F KAM HO HOUSE (BLOCK H) KAM FUNG COURT ,24,26/1/2017,5.35,543,742,9853,7210,-,
7749,FLAT A03 6/F TOWER 2 THE MET. BLISS ,3,26/1/2017,5.1,337,-,15134,-,-,-
7750,FLAT 1 32/F BLOCK A PHASE 1 SUNSHINE CITY,27,26/1/2017,7.3,568,687,12852,10626,2664,161
7751,FLAT D 35/F TOWER 2 MA ON SHAN CENTRE ,26,26/1/2017,5,522,701,9579,7133,-,
7752,FLAT 6 23/F BLOCK D PHASE 2 SUNSHINE CITY,27,26/1/2017,4.68,321,405,14579,11556,3318,202
7753,FLAT 2 1/F LUNG YUET HOUSE (BLOCK A) KAM LUNG COURT ,27,26/1/2017,5.44,645,826,8431,6584,-,
7754,FLAT 5 35/F KAM YUET HOUSE (BLOCK G) KAM YING COURT ,29,25/1/2017,4.53,554,711,8177,6371,-,
7755,FLAT 5 1/F KAM HUEN HOUSE (BLOCK F) KAM FUNG COURT ,23,25/1/2017,4.58,540,743,8481,6164,-,
7756,FLAT 3 2/F KAM YUET HOUSE (BLOCK G) KAM YING COURT ,29,25/1/2017,3.8,401,514,9476,7393,-,
7757,FLAT 12 22/F KAM LEI HOUSE (BLOCK D) KAM FUNG COURT ,24,25/1/2017,4.28,535,713,8000,6003,-,
7758,FLAT 4 9/F BLOCK D PHASE 2 SUNSHINE CITY,27,25/1/2017,5.3,490,605,10816,8760,-,
7759,FLAT F 11/F TOWER 7 SAUSALITO ,13,24/1/2017,8.3,701,939,11840,8839,2974,143
7760,FLAT 6 4/F BLOCK N PHASE 3 SUNSHINE CITY,26,24/1/2017,4.55,337,446,13501,10202,2443,141
7761,FLAT B06 2/F TOWER 2 THE MET. BLISS ,3,24/1/2017,4.79,332,-,14425,-,-,-
7762,FLAT B07 3/F TOWER 2 THE MET. BLISS ,3,24/1/2017,4.7,324,-,14497,-,-,-
7763,FLAT B06 3/F TOWER 2 THE MET. BLISS ,3,24/1/2017,4.84,332,-,14590,-,-,-
7764,FLAT A 36/F TOWER 1 OCEAN VIEW ,17,24/1/2017,8.2,721,950,11373,8632,2595,72
7765,FLAT 6 22/F BLOCK D PHASE 2 SUNSHINE CITY,27,24/1/2017,4.68,321,405,14579,11556,4847,393
7766,FLAT F 25/F BLOCK 8 PHASE 4 DOUBLE COVE GRANDVIEW DOUBLE COVE,4,24/1/2017,8.77,514,-,17061,-,-,-
7767,FLAT 5 34/F KAM YUET HOUSE (BLOCK G) KAM YING COURT ,29,24/1/2017,4.7,554,711,8484,6610,-,
7768,FLAT E 12/F TOWER 1 THE WATERSIDE ,23,23/1/2017,5.58,483,690,11553,8087,1932,77
7769,FLAT A 29/F BLOCK 4 PHASE 5 THE TOLO PLACE SUNSHINE CITY,24,23/1/2017,8.15,626,794,13019,10264,7380,104
7770,FLAT 1 27/F BLOCK P PHASE 3 SUNSHINE CITY,26,23/1/2017,5.13,370,503,13865,10199,1514,41
7771,FLAT 8 39/F BLOCK J PHASE 4 SUNSHINE CITY,26,23/1/2017,6.8,519,697,13102,9756,2230,88
7772,FLAT A 13/F BLOCK 4 CHEVALIER GARDEN ,33,20/1/2017,3,597,673,5025,4458,-,
7773,FLAT B08 1/F TOWER 2 THE MET. BLISS ,3,20/1/2017,4.7,328,-,14341,-,-,-
7774,FLAT A03 3/F TOWER 2 THE MET. BLISS ,3,20/1/2017,5.02,337,-,14902,-,-,-
7775,FLAT B03 5/F TOWER 1 THE MET. BLISS ,3,20/1/2017,4.74,337,-,14074,-,-,-
7776,FLAT D 3/F BLOCK 3 MOUNTAIN SHORE ,20,20/1/2017,5.4,482,630,11203,8571,1207,30
7777,FLAT 27 16/F HENG KONG HOUSE (BLOCK 1) HENG ON ESTATE ,0,20/1/2017,2.9,354,465,8192,6237,-,
7778,FLAT B06 1/F TOWER 2 THE MET. BLISS ,3,19/1/2017,4.73,332,-,14259,-,-,-
7779,FLAT B07 1/F TOWER 2 THE MET. BLISS ,3,19/1/2017,4.59,324,-,14170,-,-,-
7780,FLAT F 18/F BLOCK 2 LA COSTA ,16,19/1/2017,6.3,493,678,12779,9292,2053,68
7781,FLAT B 9/F BLOCK 3 VILLA ATHENA ,26,19/1/2017,10.2,874,1068,11670,9551,3817,134
7782,FLAT A07 1/F TOWER 2 THE MET. BLISS ,3,19/1/2017,4.64,328,-,14140,-,-,-
7783,FLAT A03 5/F TOWER 2 THE MET. BLISS ,3,19/1/2017,5.01,337,-,14858,-,-,-
7784,FLAT B03 3/F TOWER 1 THE MET. BLISS ,3,19/1/2017,4.71,337,-,13964,-,-,-
7785,FLAT A03 7/F TOWER 2 THE MET. BLISS ,3,19/1/2017,5.08,337,-,15086,-,-,-
7786,FLAT C 18/F TOWER 2A OCEANAIRE ,9,19/1/2017,7.48,670,881,11164,8490,1438,31
7787,FLAT B03 8/F TOWER 1 THE MET. BLISS ,3,19/1/2017,4.84,337,-,14350,-,-,-
7788,FLAT 5 28/F KAM HO HOUSE (BLOCK H) KAM FUNG COURT ,24,19/1/2017,3.5,428,586,8178,5973,-,
7789,FLAT F 12/F BLOCK 8 PHASE 4 DOUBLE COVE GRANDVIEW DOUBLE COVE,4,19/1/2017,8.02,514,-,15593,-,-,-
7790,FLAT B 10/F TOWER 5 LAKE SILVER ,11,19/1/2017,8.55,690,905,12391,9448,2769,106
7791,FLAT B 23/F TOWER 4 BAYSHORE TOWERS ,26,19/1/2017,5.3,426,576,12441,9201,3092,128
7792,FLAT D 16/F BLOCK 2 VILLA OCEANIA ,22,19/1/2017,10.68,966,1237,11056,8634,6747,128
7793,FLAT F 5/F BLOCK 3 MOUNTAIN SHORE ,20,19/1/2017,5.3,501,670,10579,7910,2485,132
7794,FLAT 4 17/F BLOCK N PHASE 3 SUNSHINE CITY,26,18/1/2017,6.5,503,671,12922,9687,7463,128
7795,FLAT A05 25/F TOWER 2 THE MET. BLOSSOM ,3,18/1/2017,6.69,411,-,16265,-,-,-
7796,FLAT B06 5/F TOWER 2 THE MET. BLISS ,3,18/1/2017,5.17,332,-,15575,-,-,-
7797,FLAT J 13/F BLOCK 4 SADDLE RIDGE GARDEN ,27,18/1/2017,4.3,482,564,8921,7624,-,
7798,FLAT 3 26/F KAM YAN HOUSE (BLOCK B) KAM HAY COURT ,30,18/1/2017,4.2,401,515,10474,8155,-,
7799,FLAT D 25/F BLOCK 2 MOUNTAIN SHORE ,20,18/1/2017,5.45,482,635,11307,8583,2414,91
7800,FLAT 13 32/F KAM MEI HOUSE (BLOCK G) KAM FUNG COURT ,23,18/1/2017,4.44,532,706,8336,6282,-,
7801,FLAT H 18/F BLOCK 1 FOK ON GARDEN ,28,18/1/2017,4.4,431,524,10209,8397,-,
7802,FLAT B 2/F TOWER 5 BAYSHORE TOWERS ,26,18/1/2017,5,394,519,12690,9634,-,
7803,FLAT E 33/F BLOCK 11 SADDLE RIDGE GARDEN ,27,18/1/2017,2.72,431,502,6306,5414,-,
7804,FLAT G 13/F TOWER 3 MA ON SHAN CENTRE ,26,18/1/2017,4.8,381,516,12598,9302,1438,55
7805,FLAT D 16/F BLOCK 15 CHEVALIER GARDEN ,32,18/1/2017,4.75,595,671,7983,7079,-,
7806,FLAT G 67/F TOWER 7 LAKE SILVER ,11,17/1/2017,7,564,739,12411,9472,1494,21
7807,FLAT B03 2/F TOWER 1 THE MET. BLISS ,3,17/1/2017,4.93,337,-,14626,-,-,-
7808,FLAT B03 7/F TOWER 1 THE MET. BLISS ,3,17/1/2017,5.03,337,-,14929,-,-,-
