,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
1187,FLAT 10 13/F YUK WO COURT  ,0,25/5/2020,2.6,-,-,-,-,-,-
1188,FLAT 1 30/F YUK WO COURT  ,0,25/5/2020,2.74,-,-,-,-,-,-
1189,HOUSE 21 NO. 18 HOUSE 21 WINDSOR HEIGHTS ,24,25/5/2020,58.7,2107,2806,27860,20919,7874,356
1190,HOUSE 82 NO. 18 HOUSE 82 WINDSOR HEIGHTS ,24,25/5/2020,60.1,2107,2806,28524,21418,7874,367
1191,HOUSE 20 NO. 18 HOUSE 20 WINDSOR HEIGHTS ,24,25/5/2020,58.6,2107,2806,27812,20884,7874,355
1192,HOUSE 81 NO. 18 HOUSE 81 WINDSOR HEIGHTS ,24,25/5/2020,63,2107,2806,29900,22452,7874,390
1193,HOUSE 22 NO. 18 HOUSE 22 WINDSOR HEIGHTS ,24,25/5/2020,60.4,2107,2806,28666,21525,7874,369
1194,HOUSE 85 NO. 18 HOUSE 85 WINDSOR HEIGHTS ,24,25/5/2020,59.2,2107,2860,28097,20699,7874,360
1195,FLAT B 12/F TOWER 1 PARC ROYALE ,25,25/5/2020,16,1241,1603,12893,9981,8461,46
1196,FLAT 16 4/F YUK WO COURT  ,0,25/5/2020,2.88,-,-,-,-,-,-
1197,FLAT 14 6/F YUK WO COURT  ,0,25/5/2020,2.98,-,-,-,-,-,-
1198,FLAT 15 38/F YUK WO COURT  ,0,25/5/2020,3.24,-,-,-,-,-,-
1199,FLAT G 17/F COURT A TOWER 2 DRAGONS RANGE ,5,22/5/2020,12.9,990,-,13030,-,1646,-9
1200,FLAT 5 27/F YUK WO COURT  ,0,21/5/2020,2.58,-,-,-,-,-,-
1201,FLAT C 52/F BLOCK 5 THE PALAZZO ,12,20/5/2020,9.28,554,717,16751,12943,4377,75
1202,FLAT A 6/F TOWER 8 MOUNT REGALIA ,2,20/5/2020,35.71,1562,-,22859,-,-,-
1203,FLAT A 3/F TOWER 8 MOUNT REGALIA ,2,19/5/2020,32.46,1562,-,20781,-,-,-
1204,FLAT B 8/F TOWER 7 PARC ROYALE ,25,19/5/2020,12.6,942,1207,13376,10439,4590,147
1205,FLAT 10 34/F YUK WO COURT  ,0,19/5/2020,2.74,-,-,-,-,-,-
1206,FLAT 3 16/F BLOCK D SCENERY GARDEN ,36,18/5/2020,7.05,537,687,13128,10262,2977,117
1207,FLAT C 17/F TOWER B THE GRANDVILLE ,14,18/5/2020,11,753,970,14608,11340,4871,96
1208,FLAT D 21/F BLOCK 2 THE PALAZZO ,12,18/5/2020,8.6,555,717,15495,11994,2547,39
1209,FLAT A 23/F THE GARRISON  ,1,15/5/2020,9.28,404,-,22970,-,-,-
1210,HOUSE 12 2/F HOUSE 12 MONTE VILLA  (with roof),0,15/5/2020,8.1,-,-,-,-,-,
