,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
61,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Fessenden Court,Fessenden Court,1976-03-31,H,3,2,8,C,746,631,9630000,2020-09-08,,0,0.0,22.341852,114.1825
62,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Beacon Hill,Block 12,2004-02-09,L,3,,5,B,1469,1086,30280000,2020-09-07,2014-04-10,22000000,37.64,22.342387,114.175242
63,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Chermain Heights,Block 1,1969-10-22,H,3,2,11,A1,1050,761,11950000,2020-09-07,2014-09-05,9700000,23.2,22.343899,114.177246
64,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Rockford Mansion & Clifford Mansion,Block B (Clifford Mansion),1978-08-15,H,,,5,D,0,728,12800000,2020-09-02,2009-06-05,5100000,150.98,22.3429,114.182699
65,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,28 La Salle Road,House E,2004-05-04,,,,,,0,5230,177000000,2020-09-02,2005-01-11,60230000,193.87,22.331073999999997,114.18247
66,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,1,E,0,287,7747000,2020-09-01,,0,0.0,22.330969,114.18579
67,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Twilight Court,Twilight Court,1975-06-26,L,2,2,1,A4,555,443,7980000,2020-08-21,2019-04-17,2000000,299.0,22.341475,114.18212
68,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Peninsula Heights,Block B,2000-03-22,M,,,10,1,1593,1241,26000000,2020-08-18,2015-01-23,17500000,48.57,22.343394999999997,114.18308999999999
69,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Marconi Court,Marconi Court,1975-04-25,L,3,2,3,E,900,692,9990000,2020-08-12,2002-05-11,2369000,321.7,22.341288,114.18247
70,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Beacon Hill,Block 7,2004-02-09,L,3,,1,C,1526,1107,28000000,2020-08-11,2006-03-28,14080000,98.86,22.341276,114.1752765
71,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Nga Yuen Building,Nga Yuen Building,1963-12-31,L,,,3,,0,1089,18280000,2020-08-07,2007-12-28,7900000,131.39000000000001,22.327892,114.18561
72,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,One Mayfair,Block 6,2011-12-28,L,4,,1,A,1632,1262,20050000,2020-08-07,2012-08-03,27548000,-27.22,22.3398724,114.1822802
73,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Beverly Villas,Block 10,1980-12-24,L,3,2,2,D,1308,1212,20950000,2020-08-07,2011-01-20,12800000,63.67,22.327439,114.183459
