Ticker,profit_score1,profit_score2,profit_score3,asset_score1,leverage_score1,leverage_score2,leverage_score3,Total,Final
1850,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1111111111111111
1852,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1853,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.1111111111111111
1860,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1861,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1866,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.9999999999999998,0.6666666666666666
1867,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1870,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333
1871,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1878,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1879,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
1881,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1882,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1883,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
1884,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1885,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.2222222222222222
1887,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1888,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1890,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1893,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333
1898,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1904,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.2222222222222222
1905,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1909,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1911,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333
1914,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1921,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9999999999999998,0.6666666666666666
1925,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1926,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1928,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1929,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333
1930,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1934,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1938,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1939,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.2222222222222222
1941,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1942,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1944,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1945,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1946,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1948,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
1949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0000000000000004,1.0000000000000002
1950,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1951,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1952,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1954,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1959,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
1960,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1961,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1963,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1964,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1965,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9999999999999998,0.6666666666666666
1966,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1967,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1968,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3333333333333333,0.4444444444444444
1969,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1971,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.2222222222222222
1972,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.9999999999999998,0.6666666666666666
1973,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1975,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1976,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.333333333333333,0.7777777777777777
1979,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1980,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
1981,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1982,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.9999999999999998,0.6666666666666666
1992,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
2001,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.9999999999999998,0.6666666666666666
2002,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
2003,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
2004,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
2053,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
2055,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
2060,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
2107,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9999999999999998,0.6666666666666666
2108,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
2109,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
