,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
71,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Royal Court,Royal Court,1995-07-21,H,,,36,C,0,636,19000000,2020-09-09,2010-04-14,10360000.0,83.4,22.275067999999997,114.16818
72,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 3,1993-08-12,L,2,,2,B,783,625,14500000,2020-09-08,2015-06-26,11800000.0,22.88,22.2755279,114.152324
73,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tavistock,Block 2 ( T2 ),1999-05-04,H,,,39,B,0,1236,50000000,2020-09-07,,0.0,0.0,22.273272,114.15288
74,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Kam Yuen Mansion,Kam Yuen Mansion,1963-08-09,M,,,4,D,0,2400,46500000,2020-09-02,,0.0,0.0,22.275886,114.15379899999999
75,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Man Tung Building,Man Tung Building,1979-06-05,H,,,5,B,0,535,10400000,2020-08-31,2013-10-25,8000000.0,30.0,22.2737829,114.1732816
76,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 1,1991-09-25,H,4,,29,A,2680,2141,100800000,2020-08-24,1997-01-13,46000000.0,119.13,22.276208,114.152624
77,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Chenyu Court,Chenyu Court,1965-11-29,L,,,3,B,0,1133,23000000,2020-08-24,,0.0,0.0,22.276072,114.15841
78,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hollywood Heights,Hollywood Heights,1977-11-18,M,,,9,B,2466,2270,64280000,2020-08-21,2002-04-13,14800000.0,334.32,22.276545,114.15446299999999
79,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 1,1977-09-12,H,,,13,A,0,1119,20500000,2020-08-20,2004-01-27,3730000.0,449.6,22.274134,114.17223
80,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Camelot Heights,Camelot Heights,1979-08-30,M,3,,8,A,0,1198,24500000,2020-08-13,2016-09-20,19000000.0,28.95,22.274174,114.170922
81,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Birchwood Place,Birchwood Place,1989-08-31,H,,,29,C,2018,1539,54000000,2020-08-13,2006-09-28,19800000.0,172.73,22.27514,114.160966
82,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 4,1977-09-12,H,,,16,C,0,915,21980000,2020-08-12,1999-12-09,4900000.0,348.57,22.27396,114.17284
83,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tregunter,Tower 3,1993-11-11,M,,,42,C,0,2429,92300000,2020-08-12,,0.0,0.0,22.274673,114.152627
84,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Wing Fook Court,Wing Fook Court,1981-03-12,H,,,15,B,904,787,20000000,2020-08-06,2007-12-21,6750000.0,196.3,22.273927999999998,114.17105
85,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Borrett Mansions,Borrett Mansions,1966-11-29,H,,,20,,0,2449,88000000,2020-08-05,,0.0,0.0,22.2740686,114.1618556
86,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Kennedy Apartment,Kennedy Apartment,1962-10-25,M,,,5,,0,2123,65000000,2020-08-05,,0.0,0.0,22.276142,114.159985
