,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
50,Hong Kong Island,Eastern,Chai Wan,Yen Lok Building,Block B,1973-06-26,L,,,1,P,0,290,3550000,2020-11-23,,0,0.0,22.261817999999998,114.23587
51,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 8,2001-04-11,M,,,36,A,1032,728,12300000,2020-11-20,2007-11-08,5188000,137.09,22.266759999999998,114.251036
52,Hong Kong Island,Eastern,Chai Wan,Yan Tsui Court,Block B,1983-03-31,H,,,17,1,676,546,3950000,2020-11-20,,0,0.0,22.261117,114.237773
53,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 4,1985-07-05,H,3,2,22,D,747,646,7450000,2020-11-20,2014-11-12,5600000,33.04,22.267409999999998,114.234612
54,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 5,1985-07-05,L,,,1,H,747,646,7280000,2020-11-20,1996-10-30,2180000,233.94,22.267636,114.235116
55,Hong Kong Island,Eastern,Chai Wan,Shan Tsui Court,Block D,1981-03-04,M,2,2,10,4,474,379,4850000,2020-11-20,,0,0.0,22.268845,114.233272
56,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 1,2001-04-11,M,,,41,H,824,566,9960000,2020-11-20,2001-01-18,2936000,239.24,22.266852,114.250333
57,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 4,1985-07-05,L,2,2,3,G,582,504,6050000,2020-11-19,2012-03-28,2885000,109.71000000000001,22.267409999999998,114.234612
58,Hong Kong Island,Eastern,Chai Wan,Greenwood Terrace (Cw),Block 1,1985-07-05,M,2,2,19,A,620,536,6300000,2020-11-19,2020-02-14,6000000,5.0,22.2662441,114.2346965
59,Hong Kong Island,Eastern,Chai Wan,Kai Tsui Court,Block A,1993-07-30,M,,,19,4,742,541,6650000,2020-11-18,,0,0.0,22.262037,114.25088
60,Hong Kong Island,Eastern,Chai Wan,Island Resort,Block 5,2001-04-11,,,,55,G,648,452,8400000,2020-11-18,2014-06-23,5680000,47.89,22.265849,114.251637
61,Hong Kong Island,Eastern,Chai Wan,Bayview Park,Bayview Park,1999-06-30,M,2,,15,E,618,453,7000000,2020-11-18,2012-05-28,4072000,71.91,22.265701,114.234165
